dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
wizard_oz,DVORAK,local,7,Geometric_VeryHigh,140605.0,results/sa/wizard_oz/DVORAK/results.txt,local
wizard_oz,DVORAK,local,8,Geometric_UltraSlow,129948.1,results/sa/wizard_oz/DVORAK/results.txt,local
wizard_oz,DVORAK,random,1,Geometric_Fast,129580.7,,global
wizard_oz,DVORAK,random,2,Geometric_Balanced,128868.6,,global
wizard_oz,DVORAK,random,3,Geometric_Slow,122904.9,,global
wizard_oz,DVORAK,random,4,Logarithmic_Fast,125147.6,,global
wizard_oz,DVORAK,random,5,Logarithmic_Slow,133504.4,,global
wizard_oz,DVORAK,random,6,Linear_Aggressive,123105.2,,global
wizard_oz,DVORAK,random,7,Geometric_VeryHigh,123141.8,,global
wizard_oz,DVORAK,random,8,Geometric_UltraSlow,127781.9,,global
wizard_oz,GA_Best,local,1,Geometric_Fast,120633.7,,local
wizard_oz,GA_Best,local,2,Geometric_Balanced,120633.7,,local
wizard_oz,GA_Best,local,3,Geometric_Slow,120633.7,,local
wizard_oz,GA_Best,local,4,Logarithmic_Fast,120633.7,/root/hybrid-keyboard-optimizer/results/sa,local
wizard_oz,GA_Best,local,5,Logarithmic_Slow,120633.7,/root/hybrid-keyboard-optimizer/results/sa,local
wizard_oz,GA_Best,local,6,Linear_Aggressive,120633.7,/root/hybrid-keyboard-optimizer/results/sa,local
wizard_oz,GA_Best,local,7,Geometric_VeryHigh,120633.7,/root/hybrid-keyboard-optimizer/results/sa,local
wizard_oz,GA_Best,local,8,Geometric_UltraSlow,120633.7,/root/hybrid-keyboard-optimizer/results/sa,local
wizard_oz,GA_Best,random,1,Geometric_Fast,120633.7,,global
wizard_oz,GA_Best,random,2,Geometric_Balanced,120633.7,,global
wizard_oz,GA_Best,random,3,Geometric_Slow,120633.7,,global
wizard_oz,GA_Best,random,4,Logarithmic_Fast,120633.7,,global
wizard_oz,GA_Best,random,5,Logarithmic_Slow,120633.7,,global
wizard_oz,GA_Best,random,6,Linear_Aggressive,120633.7,,global
wizard_oz,GA_Best,random,7,Geometric_VeryHigh,120633.7,,global
wizard_oz,GA_Best,random,8,Geometric_UltraSlow,120633.7,,global
wizard_oz,GA_Exp1,local,1,Geometric_Fast,121733.0,,local
wizard_oz,GA_Exp1,local,2,Geometric_Balanced,121733.0,,local
wizard_oz,GA_Exp1,local,3,Geometric_Slow,121733.0,,local
wizard_oz,GA_Exp1,local,4,Logarithmic_Fast,121733.0,results/sa/wizard_oz/GA_Exp1/results.txt,local
wizard_oz,GA_Exp1,local,5,Logarithmic_Slow,121733.0,results/sa/wizard_oz/GA_Exp1/results.txt,local
wizard_oz,GA_Exp1,local,6,Linear_Aggressive,121733.0,results/sa/wizard_oz/GA_Exp1/results.txt,local
